      Time          Predicted AE
2013/156-23:50:00      135.3
2013/157-00:00:00      138.2
2013/157-00:10:00      143.2
2013/157-00:20:00      144.2
2013/157-00:30:00      140.5
2013/157-00:40:00      132.5
2013/157-00:50:00      126.5
2013/157-01:00:00      121.0
2013/157-01:10:00      113.5
2013/157-01:20:00      105.5
2013/157-01:30:00       99.2
2013/157-01:40:00       96.3
2013/157-01:50:00       96.3
2013/157-02:00:00       98.5
2013/157-02:10:00      103.7
2013/157-02:20:00      108.8
2013/157-02:30:00      109.0
2013/157-02:40:00      110.9
2013/157-02:50:00      119.9
2013/157-03:00:00      138.2
2013/157-03:10:00      168.2
2013/157-03:20:00      211.2
2013/157-03:30:00      238.3
2013/157-03:40:00      265.4
2013/157-03:50:00      289.9
2013/157-04:00:00      306.4
2013/157-04:10:00      315.1
2013/157-04:20:00      329.4
2013/157-04:30:00      353.3
2013/157-04:40:00      409.4
2013/157-04:50:00      457.5
2013/157-05:00:00      495.7
2013/157-05:10:00      504.2
2013/157-05:20:00      465.8
2013/157-05:30:00      427.7
2013/157-05:40:00      401.2
2013/157-05:50:00      391.7
2013/157-06:00:00      395.2
2013/157-06:10:00      405.7
2013/157-06:20:00      403.4
2013/157-06:30:00      398.2
2013/157-06:40:00      405.0
2013/157-06:50:00      416.2
2013/157-07:00:00      435.8
2013/157-07:10:00      460.6
2013/157-07:20:00      482.9
2013/157-07:30:00      499.2
2013/157-07:40:00      509.7
2013/157-07:50:00      511.6
2013/157-08:00:00      506.2
2013/157-08:10:00      498.6
2013/157-08:20:00      497.2
2013/157-08:30:00      510.2
2013/157-08:40:00      532.0
2013/157-08:50:00      550.3
2013/157-09:00:00      558.7
2013/157-09:10:00      560.6
2013/157-09:20:00      553.1
2013/157-09:30:00      539.4
2013/157-09:40:00      531.0
2013/157-09:50:00      520.0
2013/157-10:00:00      504.9
2013/157-10:10:00      534.8
2013/157-10:20:00      542.3
2013/157-10:30:00      547.0
2013/157-10:40:00      549.2
2013/157-10:50:00      562.0
2013/157-11:00:00      578.8
2013/157-11:10:00      593.1
2013/157-11:20:00      598.6
2013/157-11:30:00      598.1
2013/157-11:40:00      581.9
2013/157-11:50:00      558.9
2013/157-12:00:00      546.1
2013/157-12:10:00      538.0
2013/157-12:20:00      546.1
2013/157-12:30:00      565.0
2013/157-12:40:00      572.2
2013/157-12:50:00      555.3
2013/157-13:00:00      524.1
2013/157-13:10:00      493.0
2013/157-13:20:00      459.1
2013/157-13:30:00      421.1
2013/157-13:40:00      382.0
2013/157-13:50:00      342.8
2013/157-14:00:00      304.2
2013/157-14:10:00      271.6
2013/157-14:20:00      249.8
2013/157-14:30:00      251.9
2013/157-14:40:00      268.6
2013/157-14:50:00      301.4
2013/157-15:00:00      347.4
2013/157-15:10:00      398.0
2013/157-15:20:00      436.9
2013/157-15:30:00      466.3
2013/157-15:40:00      480.7
2013/157-15:50:00      460.0
2013/157-16:00:00      435.9
2013/157-16:10:00      409.4
2013/157-16:20:00      379.5
2013/157-16:30:00      343.6
2013/157-16:40:00      308.8
2013/157-16:50:00      277.3
2013/157-17:00:00      250.7
2013/157-17:10:00      226.9
2013/157-17:20:00      211.2
2013/157-17:30:00      212.0
2013/157-17:40:00      219.1
2013/157-17:50:00      232.6
2013/157-18:00:00      253.6
2013/157-18:10:00      287.5
2013/157-18:20:00      333.4
2013/157-18:30:00      379.8
2013/157-18:40:00      422.0
2013/157-18:50:00      461.7
2013/157-19:00:00      501.3
2013/157-19:10:00      539.2
2013/157-19:20:00      575.8
2013/157-19:30:00      608.4
2013/157-19:40:00      635.4
2013/157-19:50:00      656.3
2013/157-20:00:00      678.3
2013/157-20:10:00      699.0
2013/157-20:20:00      714.8
2013/157-20:30:00      730.9
2013/157-20:40:00      746.9
2013/157-20:50:00      757.5
2013/157-21:00:00      760.6
2013/157-21:10:00      760.1
2013/157-21:20:00      760.2
2013/157-21:30:00      759.0
2013/157-21:40:00      759.7
2013/157-21:50:00      755.5
2013/157-22:00:00      751.6
2013/157-22:10:00      747.6
2013/157-22:20:00      753.9
2013/157-22:30:00      758.9
2013/157-22:40:00      763.3
2013/157-22:50:00      765.4
2013/157-23:00:00      766.8
2013/157-23:10:00      766.6
2013/157-23:20:00      763.3
2013/157-23:30:00      758.4
2013/157-23:40:00      751.6
2013/157-23:50:00      743.8
2013/158-00:00:00      736.9
2013/158-00:10:00      731.8
2013/158-00:20:00      728.6
2013/158-00:30:00      725.3
2013/158-00:40:00      721.9
2013/158-00:50:00      722.9
2013/158-01:00:00      726.0
2013/158-01:10:00      730.2
2013/158-01:20:00      735.6
2013/158-01:30:00      741.2
2013/158-01:40:00      748.6
2013/158-01:50:00      757.7
2013/158-02:00:00      767.0
2013/158-02:10:00      776.0
2013/158-02:20:00      783.3
2013/158-02:30:00      788.2
2013/158-02:40:00      792.4
2013/158-02:50:00      795.4
2013/158-03:00:00      798.3
2013/158-03:10:00      804.3
2013/158-03:20:00      810.9
2013/158-03:30:00      815.1
2013/158-03:40:00      819.9
2013/158-03:50:00      825.5
2013/158-04:00:00      827.7
2013/158-04:10:00      828.1
2013/158-04:20:00      828.4
2013/158-04:30:00      820.9
2013/158-04:40:00      809.5
2013/158-04:50:00      805.9
2013/158-05:00:00      797.6
2013/158-05:10:00      780.4
2013/158-05:20:00      788.5
2013/158-05:30:00      802.9
2013/158-05:40:00      817.3
2013/158-05:50:00      832.2
2013/158-06:00:00      827.1
2013/158-06:10:00      801.3
2013/158-06:20:00      775.1
2013/158-06:30:00      747.0
2013/158-06:40:00      742.1
2013/158-06:50:00      761.5
2013/158-07:00:00      780.1
2013/158-07:10:00      797.0
2013/158-07:20:00      808.8
2013/158-07:30:00      792.9
2013/158-07:40:00      775.1
2013/158-07:50:00      755.7
2013/158-08:00:00      742.3
2013/158-08:10:00      731.8
2013/158-08:20:00      715.2
2013/158-08:30:00      691.8
2013/158-08:40:00      658.7
2013/158-08:50:00      630.9
2013/158-09:00:00      609.6
2013/158-09:10:00      594.2
2013/158-09:20:00      583.9
2013/158-09:30:00      578.5
2013/158-09:40:00      575.0
2013/158-09:50:00      568.3
2013/158-10:00:00      562.0
2013/158-10:10:00      558.8
2013/158-10:20:00      552.3
2013/158-10:30:00      540.4
